,Author_Name,Title,Author_URL,App_Version,Rating,Review,Date,text,Clean_Review,Sentiment_Score,Sentiment,entities
471,vvvvvvaaaaaaammmmm,You pay if your driver cancel trip?!?!?!?!?!!?!!??,https://itunes.apple.com/us/reviews/id1107745716,3.433.10004,1,"It’s unbelievable, I ordered Uber , driver cancel trip before arrive to my location and they charging me 5 dollars!!!!!!!!!!
I think it’s a trick that the app do to make more money, I request to get the money back. There were no respond there is no number to call. Rate 0/10",2020-03-12 13:37:00,"You pay if your driver cancel trip?!?!?!?!?!!?!!?? It’s unbelievable, I ordered Uber , driver cancel trip before arrive to my location and they charging me 5 dollars!!!!!!!!!!
I think it’s a trick that the app do to make more money, I request to get the money back. There were no respond there is no number to call. Rate 0/10",pay driver cancel trip unbeliev order uber driver cancel trip arriv locat charg dollar think trick app make money request get money back respond number call rate,-0.4902,Negative,[]
225,jorge diaz ramirez,Inconformidad,https://itunes.apple.com/us/reviews/id1214741203,3.433.10004,2,"Esta App no respeta el precio acordado, al terminar el viaje el costo es superior a lo establecido, en la cd de queretaro el precio es cambiante siempre, entre mas piden más cuesta el viaje y en otras ciudades no es así, deberían de dar la opción de escoger al conductor, poder decidir si quiero viajar con él o no, ya que asignan a conductores que estas a distancia o con mala reputación arreglen eso",2020-03-12 14:00:00,"Inconformidad Esta App no respeta el precio acordado, al terminar el viaje el costo es superior a lo establecido, en la cd de queretaro el precio es cambiante siempre, entre mas piden más cuesta el viaje y en otras ciudades no es así, deberían de dar la opción de escoger al conductor, poder decidir si quiero viajar con él o no, ya que asignan a conductores que estas a distancia o con mala reputación arreglen eso",inconformidad esta app respeta el precio acordado al terminar el viaj el costo e superior lo establecido en la cd de queretaro el precio e cambiant siempr entr ma piden cuesta el viaj en otra ciudad e deber de dar la opci n de escog al conductor poder decidir si quiero viajar con l ya que asignan conductor que esta distancia con mala reputaci n arreglen eso,0.7579,Positive,"[('acordado al terminar el viaj el costo e superior lo', 'PERSON'), ('cuesta el', 'PERSON'), ('decidir si quiero', 'PERSON'), ('asignan', 'PERSON')]"
364,PsionicReign,Calling it customer service is a joke!,https://itunes.apple.com/us/reviews/id1005639059,3.433.10004,1,"The lack of accountability is astounding! I’ve had minor issues before but, this one is too much. Yesterday I placed an order to be picked up at work and have them take a young man who needed a ride home. He was not feeling well and so I did my best to accommodate him with an Uber in the freezing cold. Upon opening up the app it had my location at my work place. I proceeded to press the destination section and enter the address. A small amount of time goes by and a driver is assigned my order. After about a minute or so of watching the driver’s position on screen I notice he is heading away from my current location. I figured maybe he had another client to pick up and drop off before getting to me. That was not the case. I see the app changes from him being on the way to now we are on route to destination. He has picked someone up at a location approximately 2 miles away from me and is bringing them to my intended destination. I call him to ask where he is going because he has yet to pick me up. He says he is almost there! I said but who is in the car you did not pick me up? He mumbles to himself and hangs up the phone. The man had a very strong accent and spoke with limited vocabulary. Meanwhile, I’m supposed to be at work training supervisors and overseeing part our operation. My favorite was Uber’s expert anti-customer service philosophy. In short, because the destination you chose and the destination we dropped the wrong party off at we’re similar we won’t be giving you a refund. I reached out to their “help” section through the app and have received people equivalent to a wall or as I suspect an automated response system. Three people at Uber all repeated the same rhetoric. I explained multiple times you don’t get it!!! Your driver never picked me up. He never confirmed his party as is his job!!! In fact, he orchestrated giving his friend a ride on my dime and Uber team and their App support are supporting this behavior. Now they are threatening to block me as a user because I am not happy about them allowing someone to steal my money while they sit back and allow it. Resolution: take responsibility for your lack of training with your drivers, take customer service and hospitality training, learn to use the GPS function to support people’s statements when they tell you you never picked me up. Best of all their chat support actually had the Gaul to tell me they don’t have a way of contacting me via phone. You are stealing money and I want mine back. I had to miss work on the drop the person off myself!!!",2020-03-12 15:04:00,"Calling it customer service is a joke! The lack of accountability is astounding! I’ve had minor issues before but, this one is too much. Yesterday I placed an order to be picked up at work and have them take a young man who needed a ride home. He was not feeling well and so I did my best to accommodate him with an Uber in the freezing cold. Upon opening up the app it had my location at my work place. I proceeded to press the destination section and enter the address. A small amount of time goes by and a driver is assigned my order. After about a minute or so of watching the driver’s position on screen I notice he is heading away from my current location. I figured maybe he had another client to pick up and drop off before getting to me. That was not the case. I see the app changes from him being on the way to now we are on route to destination. He has picked someone up at a location approximately 2 miles away from me and is bringing them to my intended destination. I call him to ask where he is going because he has yet to pick me up. He says he is almost there! I said but who is in the car you did not pick me up? He mumbles to himself and hangs up the phone. The man had a very strong accent and spoke with limited vocabulary. Meanwhile, I’m supposed to be at work training supervisors and overseeing part our operation. My favorite was Uber’s expert anti-customer service philosophy. In short, because the destination you chose and the destination we dropped the wrong party off at we’re similar we won’t be giving you a refund. I reached out to their “help” section through the app and have received people equivalent to a wall or as I suspect an automated response system. Three people at Uber all repeated the same rhetoric. I explained multiple times you don’t get it!!! Your driver never picked me up. He never confirmed his party as is his job!!! In fact, he orchestrated giving his friend a ride on my dime and Uber team and their App support are supporting this behavior. Now they are threatening to block me as a user because I am not happy about them allowing someone to steal my money while they sit back and allow it. Resolution: take responsibility for your lack of training with your drivers, take customer service and hospitality training, learn to use the GPS function to support people’s statements when they tell you you never picked me up. Best of all their chat support actually had the Gaul to tell me they don’t have a way of contacting me via phone. You are stealing money and I want mine back. I had to miss work on the drop the person off myself!!!",call custom servic joke lack account astound minor issu one much yesterday place order pick work take young man need ride home feel well best accommod uber freez cold upon open app locat work place proceed press destin section enter address small amount time goe driver assign order minut watch driver posit screen notic head away current locat figur mayb anoth client pick drop get case see app chang way rout destin pick someon locat approxim mile away bring intend destin call ask go yet pick say almost said car pick mumbl hang phone man strong accent spoke limit vocabulari meanwhil suppos work train supervisor overse part oper favorit uber expert anti custom servic philosophi short destin chose destin drop wrong parti similar give refund reach help section app receiv peopl equival wall suspect autom respons system three peopl uber repeat rhetor explain multipl time get driver never pick never confirm parti job fact orchestr give friend ride dime uber team app support support behavior threaten block user happi allow someon steal money sit back allow resolut take respons lack train driver take custom servic hospit train learn use gps function support peopl statement tell never pick best chat support actual gaul tell way contact via phone steal money want mine back miss work drop person,0.2541,Positive,"[('yesterday', 'DATE'), ('figur mayb', 'PERSON'), ('app chang', 'PERSON'), ('approxim mile', 'PERSON'), ('anti custom servic philosophi', 'PERSON'), ('three', 'CARDINAL')]"
196,izzydaman,A horrible company,https://itunes.apple.com/us/reviews/id44077668,3.433.10004,1,"I think I understand why Uber drivers are not treating customers well. The CEOs of Uber are taking I think 30 to 35% of their payment, consequently there mistreating customers including lowering my rating as well.I think I’m going to start using a private car service instead of your cheap labor to the drivers rides. I’m not the only one that beer is this treatment. I’m sure a lot of customers are feeling this as well. In the beginning Uber used to treat me very well, but as time went on it became worse. I also don’t understand why my ratings keep going down. I’m always outside 99% of the time, very kind to the drivers, and A lot of times tip the drivers. I went from a 4.88 a year and a half ago and now I am a 4.64 dropping tremendously every day.It’s not only you it’s lyft as well.",2020-03-12 20:01:00,"A horrible company I think I understand why Uber drivers are not treating customers well. The CEOs of Uber are taking I think 30 to 35% of their payment, consequently there mistreating customers including lowering my rating as well.I think I’m going to start using a private car service instead of your cheap labor to the drivers rides. I’m not the only one that beer is this treatment. I’m sure a lot of customers are feeling this as well. In the beginning Uber used to treat me very well, but as time went on it became worse. I also don’t understand why my ratings keep going down. I’m always outside 99% of the time, very kind to the drivers, and A lot of times tip the drivers. I went from a 4.88 a year and a half ago and now I am a 4.64 dropping tremendously every day.It’s not only you it’s lyft as well.",horribl compani think understand uber driver treat custom well ceo uber take think payment consequ mistreat custom includ lower rate well think go start use privat car servic instead cheap labor driver ride one beer treatment sure lot custom feel well begin uber use treat well time went becam wors also understand rate keep go alway outsid time kind driver lot time tip driver went year half ago drop tremend everi day lyft well,0.9526,Positive,"[('horribl compani', 'PERSON'), ('year half ago', 'DATE')]"
146,errttyyuuioooolkkjgfddsa13457,Trip tonight,https://itunes.apple.com/us/reviews/id1133576754,3.433.10004,2,How horrible you are Jesus was on his way he canceled we couldn’t call him we’ve missed our flight with Southwest airlines I have saved the information both on his statement saying he’d be here in three minutes him canceling on us right before we needed to leave and the flight we missed with Southwest airlines this will go on Better Business Bureau and we will no longer need you,2020-04-12 01:57:00,Trip tonight How horrible you are Jesus was on his way he canceled we couldn’t call him we’ve missed our flight with Southwest airlines I have saved the information both on his statement saying he’d be here in three minutes him canceling on us right before we needed to leave and the flight we missed with Southwest airlines this will go on Better Business Bureau and we will no longer need you,trip tonight horribl jesus way cancel call miss flight southwest airlin save inform statement say three minut cancel u right need leav flight miss southwest airlin go better busi bureau longer need,-0.2732,Negative,"[('tonight', 'TIME'), ('airlin', 'PERSON'), ('three', 'CARDINAL'), ('airlin', 'PERSON')]"
289,mandym5252,F this new drivers bid for a price that’s 4x the recommended price in Cali.,https://itunes.apple.com/us/reviews/id151920230,3.433.10004,1,F u Uber,2020-04-12 06:57:00,F this new drivers bid for a price that’s 4x the recommended price in Cali. F u Uber,f new driver bid price recommend price cali f u uber,0.3612,Positive,"[('cali', 'PERSON')]"
426,texas tech alumniiii,Least Reliable Ride Service,https://itunes.apple.com/us/reviews/id335368293,3.433.10004,1,The location tracking is by far the worst and to add on top of that if it messes up and you cancel your getting charged. Super frustrating when you need it the most!!!,2020-04-12 15:54:00,Least Reliable Ride Service The location tracking is by far the worst and to add on top of that if it messes up and you cancel your getting charged. Super frustrating when you need it the most!!!,least reliabl ride servic locat track far worst add top mess cancel get charg super frustrat need,-0.6908,Negative,[]
38,Amaranth90,Someone will be dead before you get an Uber.,https://itunes.apple.com/us/reviews/id227732001,3.433.10004,1,"Your policy is getting worse and worse! I’m so tired of it! Yesterday I ordered uber, waited 10min and the  driver just drove by without stopping and canceled the trip. I was supposed go see my friend who got into a huge car accident and now he is fighting for his life. I had to wait more time for another car and crying because I thought I’ll never see my friend again. Someone will really be dead sometimes before you get an Uber if your drivers will keep canceling rides upon your policy. 
Oh you know what? They gave me $7 for this issue. Wow. Thanks. 
From now on, I’m gonna rate every driver with one star until you change your policy. I don’t have a car and guess what? I use Uber 4-6 times almost every day. Let’s count it........
To be continued......",2020-04-12 17:59:00,"Someone will be dead before you get an Uber. Your policy is getting worse and worse! I’m so tired of it! Yesterday I ordered uber, waited 10min and the  driver just drove by without stopping and canceled the trip. I was supposed go see my friend who got into a huge car accident and now he is fighting for his life. I had to wait more time for another car and crying because I thought I’ll never see my friend again. Someone will really be dead sometimes before you get an Uber if your drivers will keep canceling rides upon your policy. 
Oh you know what? They gave me $7 for this issue. Wow. Thanks. 
From now on, I’m gonna rate every driver with one star until you change your policy. I don’t have a car and guess what? I use Uber 4-6 times almost every day. Let’s count it........
To be continued......",someon dead get uber polici get wors wors tire yesterday order uber wait driver drove without stop cancel trip suppos go see friend got huge car accid fight life wait time anoth car cri thought never see friend someon realli dead sometim get uber driver keep cancel ride upon polici oh know gave issu wow thank gon na rate everi driver one star chang polici car guess use uber time almost everi day let count continu,-0.6549,Negative,"[('yesterday', 'DATE'), ('one', 'CARDINAL'), ('chang polici', 'PERSON')]"
290,Mannyac9,Customer Support,https://itunes.apple.com/us/reviews/id262197218,3.433.10004,1,"The app and service it’s easy until you need customer support. I sent an email and I receive “you have contacted an email address that is not monitored and your request has not reached our support team.” 
So what’s the proper way in getting support?",2020-04-12 19:12:00,"Customer Support The app and service it’s easy until you need customer support. I sent an email and I receive “you have contacted an email address that is not monitored and your request has not reached our support team.” 
So what’s the proper way in getting support?",custom support app servic easi need custom support sent email receiv contact email address monitor request reach support team proper way get support,0.8834,Positive,"[('custom support', 'ORG')]"
357,Piggy wiggly santanna,Worst app ever drivers are very unprofessional,https://itunes.apple.com/us/reviews/id488957145,3.433.10004,1,If I could give it no stars I would twice i had a uber driver cancel my ride while i was in the car for no reason y’all need to get better drivers cause this is unacceptable especially if I’m spending my hard earned money with y’all as well<U+0001F621><U+0001F621><U+0001F621><U+0001F621>,2020-04-12 23:26:00,Worst app ever drivers are very unprofessional If I could give it no stars I would twice i had a uber driver cancel my ride while i was in the car for no reason y’all need to get better drivers cause this is unacceptable especially if I’m spending my hard earned money with y’all as well<U+0001F621><U+0001F621><U+0001F621><U+0001F621>,worst app ever driver unprofession could give star would twice uber driver cancel ride car reason need get better driver caus unaccept especi spend hard earn money well,-0.4173,Negative,[]
347,Nuggson,Wait times are ridiculous,https://itunes.apple.com/us/reviews/id1035747060,3.433.10004,1,This app no longer cares about riders. Had to wait 45-50 minutes for Uber to connect me to a driver all week never using this app again. Lyft has cheaper more consistent rides. Uber really has to check itself smh horrible service,2020-05-12 00:46:00,Wait times are ridiculous This app no longer cares about riders. Had to wait 45-50 minutes for Uber to connect me to a driver all week never using this app again. Lyft has cheaper more consistent rides. Uber really has to check itself smh horrible service,wait time ridicul app longer care rider wait minut uber connect driver week never use app lyft cheaper consist ride uber realli check smh horribl servic,-0.6077,Negative,"[('horribl servic', 'PERSON')]"
60,awesdnhtgyuonbsjucngloow,Worthless garbage,https://itunes.apple.com/us/reviews/id743895563,3.433.10004,1,I’ve been burned by this app from the driving services to the food delivery that just doesn’t care enough to actually find your house but still marks your order as delivered anyways and so you got to go through the whole refund debacle and they don’t have a call center right now... of any kind? Garbage in comparison to Lyft and other resources such as Door Dash and Grub Hub,2020-05-12 02:01:00,Worthless garbage I’ve been burned by this app from the driving services to the food delivery that just doesn’t care enough to actually find your house but still marks your order as delivered anyways and so you got to go through the whole refund debacle and they don’t have a call center right now... of any kind? Garbage in comparison to Lyft and other resources such as Door Dash and Grub Hub,worthless garbag burn app drive servic food deliveri care enough actual find hous still mark order deliv anyway got go whole refund debacl call center right kind garbag comparison lyft resourc door dash grub hub,-0.3182,Negative,"[('garbag burn app', 'PRODUCT')]"
451,ukinebo,App is messed Up,https://itunes.apple.com/us/reviews/id796851858,3.433.10004,1,My app has been misbehaving and I have reinstalled several times already and even contacted the support several times but yet they can’t help me fix it. I am forced to open another Uber account and lose my gold membership as my rewards is now frozen in my original account. Not happy. I use Uber not less than 4 times a week and I am sad I can’t get any rewards.,2020-05-12 02:35:00,App is messed Up My app has been misbehaving and I have reinstalled several times already and even contacted the support several times but yet they can’t help me fix it. I am forced to open another Uber account and lose my gold membership as my rewards is now frozen in my original account. Not happy. I use Uber not less than 4 times a week and I am sad I can’t get any rewards.,app mess app misbehav reinstal sever time alreadi even contact support sever time yet help fix forc open anoth uber account lose gold membership reward frozen origin account happi use uber le time week sad get reward,0.6395,Positive,"[('app', 'ORG')]"
332,Nedmac32,What a joke,https://itunes.apple.com/us/reviews/id293361156,3.433.10004,1,"If you want a ride, I suggest Lyft or your neighbor over Uber. Uber is the most unreliable app in the country. I can never get a ride. They claim to have drivers anywhere but I live in atlanta and can never get a ride. The worst app there is. You’re better off walking to the airport.",2020-05-12 05:02:00,"What a joke If you want a ride, I suggest Lyft or your neighbor over Uber. Uber is the most unreliable app in the country. I can never get a ride. They claim to have drivers anywhere but I live in atlanta and can never get a ride. The worst app there is. You’re better off walking to the airport.",joke want ride suggest lyft neighbor uber uber unreli app countri never get ride claim driver anywher live atlanta never get ride worst app better walk airport,0.8269,Positive,"[('atlanta', 'GPE')]"
87,canceluber2020,Uber is garbage,https://itunes.apple.com/us/reviews/id463937692,3.433.10004,1,Uber wouldn’t pick me up. Every driver kept cancelling and they’re garbage. #canceluber2020 !,2020-05-12 08:52:00,Uber is garbage Uber wouldn’t pick me up. Every driver kept cancelling and they’re garbage. #canceluber2020 !,uber garbag uber pick everi driver kept cancel garbag,-0.807,Negative,"[('garbag uber pick', 'ORG')]"
489,Zyzy18,I’m sick of Uber,https://itunes.apple.com/us/reviews/id756894229,3.433.10004,1,At first Uber was okay but than things started happening like the drivers having extra people in the car or almost getting into accident more then once with different drivers but recently I’ve been so feed up because their gps take them a long way or something happened on there in and they just take extra money from out my bank like one time a Uber driver got lost so I had to pay for that extra time why idk and just recently as in last night I had to pay for the extra because my ride hade to go a longer way because it was a accident and the police had the regular way blocked off how is that my fault and mind y’all they take the money without asking me so that’s really stealing and I’m sick of it they can’t connect me to head charge so I’m done using Uber,2020-05-12 12:19:00,I’m sick of Uber At first Uber was okay but than things started happening like the drivers having extra people in the car or almost getting into accident more then once with different drivers but recently I’ve been so feed up because their gps take them a long way or something happened on there in and they just take extra money from out my bank like one time a Uber driver got lost so I had to pay for that extra time why idk and just recently as in last night I had to pay for the extra because my ride hade to go a longer way because it was a accident and the police had the regular way blocked off how is that my fault and mind y’all they take the money without asking me so that’s really stealing and I’m sick of it they can’t connect me to head charge so I’m done using Uber,sick uber first uber okay thing start happen like driver extra peopl car almost get accid differ driver recent feed gps take long way someth happen take extra money bank like one time uber driver got lost pay extra time idk recent last night pay extra ride hade go longer way accid polic regular way block fault mind take money without ask realli steal sick connect head charg done use uber,-0.7832,Negative,[]
100,Cln83,Not good if you are legally blind,https://itunes.apple.com/us/reviews/id208985204,3.433.10004,1,I have had several issues with Uber because of my eye sight.  This app is very difficult to see and impossible to find the new Uber pet feature.  I have had drivers cancel on me because I could not find their car.  My final straw was today when I tried taking my dog to the groomer but the driver would not take me and instead of canceling they just kept sending me more drivers until I would pay $5 to cancel.  I feel discriminated against and no one cares.  I am done with Uber.,2020-05-12 16:54:00,Not good if you are legally blind I have had several issues with Uber because of my eye sight.  This app is very difficult to see and impossible to find the new Uber pet feature.  I have had drivers cancel on me because I could not find their car.  My final straw was today when I tried taking my dog to the groomer but the driver would not take me and instead of canceling they just kept sending me more drivers until I would pay $5 to cancel.  I feel discriminated against and no one cares.  I am done with Uber.,good legal blind sever issu uber eye sight app difficult see imposs find new uber pet featur driver cancel could find car final straw today tri take dog groomer driver would take instead cancel kept send driver would pay cancel feel discrimin one care done uber,-0.0828,Negative,"[('today', 'DATE')]"
152,Fenbit11,Uber,https://itunes.apple.com/us/reviews/id199934985,3.433.10004,1,This app is crap,2020-05-12 19:47:00,Uber This app is crap,uber app crap,-0.4364,Negative,"[('uber app crap', 'PERSON')]"
359,Poingly,Uber is not enforcing social distancing,https://itunes.apple.com/us/reviews/id86506002,3.433.10004,1,"Uber does not seem to care about its drivers socially distancing during this time of pandemic. This is a real problem. Maybe they are too rushed because of Uber’s policies? I don’t know, but with how they pick up food is not compliant with food social distancing practices.",2020-05-12 20:35:00,"Uber is not enforcing social distancing Uber does not seem to care about its drivers socially distancing during this time of pandemic. This is a real problem. Maybe they are too rushed because of Uber’s policies? I don’t know, but with how they pick up food is not compliant with food social distancing practices.",uber enforc social distanc uber seem care driver social distanc time pandem real problem mayb rush uber polici know pick food compliant food social distanc practic,0.197,Positive,"[('uber enforc', 'ORG')]"
